City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,69.26,59,75,3.0,broken clouds
1,Qaanaaq,GL,77.48,-69.36,20.95,84,100,5.32,overcast clouds
2,Port Elizabeth,ZA,-33.92,25.57,64.09,100,40,12.66,scattered clouds
3,Avarua,CK,-21.21,-159.78,82.45,78,20,6.91,light rain
4,Thompson,CA,55.74,-97.86,-20.04,76,1,8.05,clear sky
5,Port Lincoln,AU,-34.73,135.87,66.47,55,12,1.07,few clouds
6,Vaini,TO,-21.20,-175.20,84.36,84,20,12.66,few clouds
7,Cape Town,ZA,-33.93,18.42,61.21,88,75,1.01,light intensity drizzle
8,Los Altos,US,37.39,-122.11,64.33,73,1,1.01,haze
9,Ushuaia,AR,-54.80,-68.30,46.06,61,75,27.63,broken clouds
10,Albany,US,42.60,-73.97,38.57,60,98,4.47,overcast clouds
11,Tuktoyaktuk,CA,69.45,-133.04,-16.6,69,1,9.22,clear sky
12,Paamiut,GL,61.99,-49.67,25.5,63,100,19.73,light snow
13,East London,ZA,-33.02,27.91,68.54,92,100,2.75,overcast clouds
14,Rikitea,PF,-23.12,-134.97,76.69,73,87,6.26,overcast clouds
15,Cherskiy,RU,68.75,161.30,-37.68,97,90,3.13,overcast clouds
16,Levelland,US,33.59,-102.38,67.05,17,0,12.8,clear sky
17,Hermanus,ZA,-34.42,19.23,60.91,95,100,11.01,light rain
18,Puerto Ayora,EC,-0.74,-90.35,68.49,87,42,10.22,scattered clouds
19,Mitu,CO,1.20,-70.17,74.08,91,77,1.21,broken clouds
20,Saskylakh,RU,71.92,114.08,-34.64,99,99,4.79,overcast clouds
21,Tasiilaq,GL,65.61,-37.64,29.34,92,97,20.2,light snow
22,Port Hawkesbury,CA,45.62,-61.35,30.18,76,64,5.99,broken clouds
23,San Quintin,MX,30.48,-115.95,62.26,77,0,13.27,clear sky
24,Silver City,US,32.77,-108.28,57.63,29,75,7.0,broken clouds
25,Bluff,NZ,-46.60,168.33,55.8,52,57,17.31,broken clouds
26,Te Anau,NZ,-45.42,167.72,50.72,67,80,5.77,broken clouds
27,Gat,IL,31.61,34.76,61.39,50,24,8.14,few clouds
28,Yellowknife,CA,62.46,-114.35,-19.59,82,1,4.61,clear sky
29,Chapais,CA,49.78,-74.85,-0.62,98,95,4.05,overcast clouds
30,Kapaa,US,22.08,-159.32,79.12,67,40,3.0,light rain
31,Kodiak,US,57.79,-152.41,33.31,80,90,12.66,light snow
32,Rajmahal,IN,25.05,87.83,66.13,75,80,4.83,broken clouds
33,Busselton,AU,-33.65,115.33,62.04,63,72,17.67,broken clouds
34,Barrow,US,71.29,-156.79,12.22,79,90,17.27,overcast clouds
35,Punta Arenas,CL,-53.15,-70.92,51.91,46,75,16.11,broken clouds
36,Sitka,US,57.05,-135.33,35.49,75,90,4.61,light snow
37,Caravelas,BR,-17.71,-39.25,74.17,88,0,4.94,clear sky
38,Castro,BR,-24.79,-50.01,63.75,86,98,0.72,overcast clouds
39,Nikolskoye,RU,59.70,30.79,-1.61,97,8,4.45,clear sky
40,Iquitos,PE,-3.75,-73.25,77.04,94,75,1.14,broken clouds
41,Guerrero Negro,MX,27.98,-114.06,65.28,75,1,16.73,clear sky
42,Kaitangata,NZ,-46.28,169.85,54.93,56,89,7.9,overcast clouds
43,Presidente Dutra,BR,-5.29,-44.49,75.74,88,57,2.21,broken clouds
44,Port Alfred,ZA,-33.59,26.89,67.95,94,77,12.73,broken clouds
45,Klaksvik,FO,62.23,-6.59,38.32,65,100,21.63,overcast clouds
46,Valparaiso,CL,-33.04,-71.63,63.48,87,90,3.44,mist
47,Pisco,PE,-13.70,-76.22,67.01,88,75,16.11,broken clouds
48,Geraldton,AU,-28.77,114.60,81.12,34,0,18.41,clear sky
49,Longyearbyen,SJ,78.22,15.64,17.44,73,75,9.22,light snow
50,Ialibu,PG,-6.28,143.99,66.83,55,100,5.48,overcast clouds
51,Pacific Grove,US,36.62,-121.92,65.8,85,40,1.01,scattered clouds
52,Cidreira,BR,-30.18,-50.21,69.48,87,72,13.56,broken clouds
53,Iqaluit,CA,63.75,-68.51,10.13,72,90,17.0,light snow
54,Fairbanks,US,64.84,-147.72,11.91,78,90,0.0,overcast clouds
