City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,82.45,light rain,-21.21,-159.78,Paradise Inn
6,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
14,Rikitea,PF,76.69,overcast clouds,-23.12,-134.97,People ThankYou
30,Kapaa,US,79.12,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
40,Iquitos,PE,77.04,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
43,Presidente Dutra,BR,75.74,broken clouds,-5.29,-44.49,Pousada Planalto
48,Geraldton,AU,81.12,clear sky,-28.77,114.6,Broadwater Mariner Resort
57,Saint-Philippe,RE,76.55,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
58,Galle,LK,77.02,scattered clouds,6.04,80.22,Amangalla
61,Cayenne,GF,78.1,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
62,Kawalu,ID,76.23,light rain,-7.38,108.21,KOSAN UNGU UNSIK
64,Carnarvon,AU,77.07,clear sky,-24.87,113.63,Hospitality Carnarvon
69,Atuona,PF,78.84,clear sky,-9.8,-139.03,Villa Enata
73,Lakes Entrance,AU,78.17,overcast clouds,-37.88,147.98,The Esplanade Resort & Spa
74,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
75,Labuhan,ID,80.04,moderate rain,-6.88,112.21,Labuhan
82,Salalah,OM,75.29,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
83,Sola,VU,84.87,broken clouds,-13.88,167.55,Ulkel Guest House
85,Georgetown,MY,78.89,few clouds,5.41,100.34,Cititel Penang
86,Mahebourg,MU,77.29,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
92,Butaritari,KI,80.98,moderate rain,3.07,172.79,Isles Sunset Lodge
99,Auki,SB,79.11,overcast clouds,-8.77,160.7,Auki Motel
111,Yarada,IN,77.32,mist,17.65,83.27,Vishranti
114,Pundaguitan,PH,80.96,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
